last_checked,trust_level,dispenser_address
2026-08,safe,bc1qe3ayzcnp8drwnqhk0aer9w9s6yzrd6e6kskvx6
2026-08,safe,169vbcdKrAEfX7VjHj5EdrCxSsA8fRhmbT
2026-08,safe,bc1q0wlpxctzv0fm9qprrcplmn9t93hkr9ydupf8n0
2026-08,safe,1H8mGPcvv2Ess3jxCEsTd4B4gkYiia9Ubq
2026-08,safe,1KeETBiLUiLRWBqXxM3Lk1vweCJcxgvs4y
2026-08,safe,1LnYFKsS575LqYKTqywaSgvVBe3NUxm673
2026-08,safe,1EtUv2RcFSau762ZJtboaUpYGAXUEucxTw
2026-08,safe,1LQH83j1Ve9acSw5cHoqBSPbDTQFWz4K7v
2026-08,safe,13Smp9S6N8gQwMxbjvLH1Wuv7ZJGDVgYrc
2026-08,safe,1NfJnJdAdmm2rJCFW54NsAKqqTTMexCNJ3
2026-08,safe,1LDn8KqUXc8uNHS54TTb3MqAUFmb99GFzm
2026-08,safe,15dpxkSgrEPbgAxmKfJ2bLJST9Q1XtRzBS
2026-08,safe,1GQs8FDHXiwjgDvzpnapjA1kx3F8X6qKqh
2026-08,safe,13PS8FXCohbektZAGBBDNyrB4YrCTTK7HE
2026-08,safe,148uhRH8g2v8dHAXkvyFkYbnxhTY4qKxCF
2026-08,safe,18W5ntfkXQpMsuGo3HAj27N3xiAmPa8AJa
2026-08,safe,14Mew1AEyt423C9DmYfCkx2kcN2XeHdXMR
2026-08,safe,134esc3ZT2E8uju9hhU8RVJRf5sfQtqwby
2026-08,safe,14wEK9VwhcAzdFjuiLyNVkLUq5XcuuErjk
2026-08,safe,1HhEH4kbsi1Vq8zjsBgM1twpgtq3QtWZGG
2026-08,safe,1GKA15eye7ngt96hVVGyK1TbUJdZSKbdtv
2026-08,safe,1DQF8W4GUaPz1LcrX4czFj4uE9PxjDWwYk
2026-08,safe,1LfLxu4hh1wR8aYpzJRPcjznMbL3wCcKu1
2026-08,safe,1QEs8WaTayGZMsE3dpRTPziPg1YyaoDfZy
2026-08,safe,1H4hD9T5RmNSUzxomiUbC4wsjtn7rWX2TB
2026-08,safe,bc1qn204fazyedukgmajgaejmk5vjs6wwu4pa7ulx9
2026-08,safe,bc1qrgg6hdj45h2grteywq82yq2u60602w5uc543dh
2026-08,safe,bc1qz8y760738dcuv6g3jf6sa5tdcmzddneh2u220w
2026-08,safe,bc1qcxse4z2rvltw3r764puq52vc9cgv5dv2nmruz8
2026-08,safe,bc1qreefy33thdnsrjk4my23upe3qpsf2g6hfc44gk
2026-08,safe,bc1qszzxmjr5f4j737qtugeysjpr8xf0yeverc957r
2026-08,safe,bc1qdsyj3fa3wf8kh4rzlulxdr0d93u0rs59vp04aq
2026-08,safe,bc1qvuqzfsaknpt2655kx7fe0hwwyqee6mushzpp87
2026-08,safe,bc1qgdxt2kez6pwapqmgerekehmpjw78y8z5vtjjj8
2026-08,safe,bc1qmadsf9e5mnffmg7yuhhpn2v6tas8s3f4y8pms8
2026-08,safe,bc1q7t8pp5nmyqs433qnh9qh4wamk7f9heqvn3fuet
2026-08,safe,bc1qw6l5f6fsma7u69l4lfxj9085j74g82ajvrj44r
2026-08,safe,bc1q26egumrypttsxn7hxyyulvecvj8qd8n7lz5met
2026-08,safe,bc1qreefy33thdnsrjk4my23upe3qpsf2g6hfc44gk
2026-08,safe,bc1qszzxmjr5f4j737qtugeysjpr8xf0yeverc957r
2026-08,safe,bc1qdsyj3fa3wf8kh4rzlulxdr0d93u0rs59vp04aq
2026-08,safe,bc1qvuqzfsaknpt2655kx7fe0hwwyqee6mushzpp87
2026-08,safe,bc1qrkckrfsvagngr8zlsrzc94fr36a2tsl279acg6
2026-08,safe,bc1qn9xq3txq3qcsfet5frvxvf8ch45dkw2fwmd76a
2026-08,safe,bc1q0vep4hc2ljnuvmtehqk0qk0qujrlxpdu5yrkvc
2026-08,safe,bc1qqxr9grqw73dm95cen3g56mzswuj6eqjedu6csx
2026-08,safe,bc1q8888888p9ffr9dwjs9g35fv6hwfqahfl8nw7l6
2026-08,safe,bc1qlqyamgndq8eu0qhy5378varz04rr9gqzd7tdn2
2026-08,safe,1Cs6iGVsP1KKwGMU71Cx9wmv89jAdBE6Ri
2026-08,risky,111114T8B9ooh3BVnnB6FrrdwiHkDAZK4
2026-08,risky,111111bE6u7oM16ZVapf2pZoodaz3Eh9
2026-08,risky,1JsPoV5USoFM7441KtGXtvMH5ezNwq9Uak
